ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Chemical\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"Concentration\" Name=\"field_1\" ID=\"{0f09ece3-7284-4c30-a854-a8e5b1c25603}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"900gsm PVC 20°C\" Name=\"field_2\" ID=\"{54ec0efa-dc4a-4959-919a-7d702612d993}\" StaticName=\"field_2\" />","<Field Type=\"Text\" DisplayName=\"900gsm PVC 60°C\" Name=\"field_3\" ID=\"{a7f004fb-4ec4-40af-a5b2-edbfe94de2ed}\" StaticName=\"field_3\" />","<Field Type=\"Text\" DisplayName=\"XR-5\" Name=\"field_4\" ID=\"{ffc488e4-d966-4b75-8cbb-8b5ade8d655b}\" StaticName=\"field_4\" />","<Field Type=\"Text\" DisplayName=\"CoolGuard HRL\" Name=\"field_5\" ID=\"{e06c09f9-3736-4194-aa61-de024acb1615}\" StaticName=\"field_5\" />"]}
"Sodium hypochlorite ","0.13","Little or no effect","Some effect",,
"Sodium hypochlorite ","0.15","Little or no effect","Some effect","Little or no effect",
"Sodium hypochlorite ","1","Little or no effect","Some effect","Little or no effect",
"Sodium iodide each ",,"Little or no effect","Some effect",,
"Sodium metabisulfite",,"Little or no effect","Some effect",,
"Sodium nitrate ","1","Little or no effect","Little or no effect",,
"Sodium nitrite ","1","Little or no effect","Little or no effect",,
"Sodium oxalate","1","Little or no effect","Some effect",,
"Sodium perborate","1","Little or no effect","Little or no effect",,
"Sodium perchlorate ","1","Little or no effect","Little or no effect",,
"Sodium peroxide ","1","Little or no effect","Little or no effect",,
"Sodium persulfate","1","Little or no effect","Some effect",,
"Sodium phosphate","1","Little or no effect","Some effect","Not recommended","Little or no effect"
"Sodium silicate","1","Little or no effect","Some effect",,
"Sodium sulfate","1","Little or no effect","Some effect",,
"Sodium sulfide","1","Little or no effect","Some effect",,
"Sodium sulfite ","1","Little or no effect","Some effect",,
"Sodium thiosulfate","1","Little or no effect","Some effect",,
"Soft soap","Diluted","Little or no effect","Some effect",,
"Spindle oil",,"Some effect",,,
"Spinning bath acid 100mg CS2/l ",,"Little or no effect",,,
"Spirit of wine",,"Little or no effect","Some effect",,
"Spirits",,"Little or no effect","Little or no effect",,
"Spirits of Turpentine",,"Little or no effect","Some effect",,
"Spirit of wine","0.5","Little or no effect",,,
"Spirit of wine","0.96","Little or no effect",,,
"Spruce oil",,"Some effect","Not recommended",,
"Stannic chloride ","Aqueous","Little or no effect","Little or no effect",,
"Stannous chloride ","1","Little or no effect","Little or no effect",,
"Starch solution",,"Little or no effect","Little or no effect",,
"Starch syrup ",,"Little or no effect","Little or no effect",,
"Stearic acid",,"Little or no effect","Little or no effect",,
"Styrene ","1","Not recommended","Not recommended","Not recommended",
"Succinic acid","0.5","Little or no effect",,,
"Sugar beet juice ",,"Little or no effect",,,
"Sugar syrup",,"Little or no effect","Some effect",,
"Sulfur","1","Some effect",,,
"Sulfur dioxide",,"Some effect","Not recommended",,
"Sulfur trioxide",,"Not recommended","Not recommended",,
"Sulfuric Acid","1 - 6%","Little or no effect","Little or no effect","Little or no effect","Little or no effect"
"Sulfuric Acid","0.2","Little or no effect","Little or no effect","Little or no effect","Little or no effect"
"Sulfuric Acid","0.4","Little or no effect","Some effect","Little or no effect","Little or no effect"
"Sulfuric Acid","0.7","Little or no effect","Some effect","Little or no effect","Some effect"
"Sulfuric Acid","0.8","Little or no effect","Some effect",,
"Sulfuric Acid","0.95","Little or no effect","Not recommended",,
"Sulfur Dioxide, Liq. ",,"Some effect ",,,
"Sulfur Salts  ",,"Not recommended ",,,
"Sulfurous acid","1","Little or no effect","Little or no effect",,
"Sulfuryl chloride","1","Not recommended","Not recommended",,
"Tallow",,"Little or no effect","Little or no effect",,
"Tannic acid","0.1","Little or no effect","Little or no effect","Little or no effect","Little or no effect"
"Tar",,"Little or no effect","Little or no effect",,
"Tartaric Acid  ","0.1","Little or no effect ","Little or no effect",,
"Tetrabromoethane (TBE)","1","Not recommended","Not recommended",,
"Tetrachloreethane","1","Not recommended","Not recommended",,
"Tetrachloroethylene",,"Not recommended","Not recommended",,
"Tetrahydrofuran  ","0.09","Not recommended ","Not recommended","Little or no effect",
"Tetrahydronaphthalene",,"Not recommended","Not recommended",,
"Thionyl Chloride ",,"Not recommended ","Not recommended",,
"Toluene  ","1","Not recommended","Not recommended","Not recommended","Not recommended"
"Transformer oil",,"Little or no effect","Little or no effect","Little or no effect","Little or no effect"
"Tribromomethane",,"Not recommended","Not recommended",,
"Tributyl citrate ",,"Some effect","Not recommended",,
"Tributyl phosphate (TBP)","1","Not recommended","Not recommended",,
"Trichloroacetaldehyde","1","Not recommended","Not recommended",,
"Trichloroacetic acid ",,"Not recommended","Not recommended",,
"Trichlorobenzene","1","Not recommended","Not recommended",,
"Trichloroethane ",,"Not recommended","Not recommended",,
"Trichloroethylene (TRI) ","1","Not recommended","Not recommended",,
"Trichlorotrifluoroethane ","1","Some effect","Not recommended",,
"Tricresyl phosphate (TCF)","1","Not recommended","Not recommended",,
"Triethanolamine (TEA) ","1","Some effect","Some effect",,
"Triethylene glycol ",,"Little or no effect","Some effect",,
"Trimethylolpropane ","Aqueous","Little or no effect","Little or no effect",,
"Trimethylpentane","1","Little or no effect",,,
"Trioctyl phosphate ","1","Not recommended","Not recommended",,
"Turpentine  ",,"Little or no effect ","Little or no effect","Little or no effect","Some effect"
"Tripropylene glycol (TPG)",,"Little or no effect","Some effect",,
"Trisodium phosphate",,"Little or no effect","Little or no effect",,
"Undecanol",,"Little or no effect","Some effect",,
"Urea","0.3","Little or no effect","Some effect","Little or no effect","Little or no effect"
"Uric acid ",,"Little or no effect",,,
"Urine ",,"Little or no effect","Some effect",,
"Vaseline ","1","Some effect",,,
"Vaseline oil ","1","Little or no effect","Little or no effect",,
"Vegetable oils ",,"Little or no effect","Little or no effect","Little or no effect","Little or no effect"
"Vinegar",,"Little or no effect","Little or no effect",,
"Vinyl acetate","1","Not recommended","Not recommended",,
"Vinyl chloride ","1","Not recommended","Not recommended",,
"Vinylidene chloride",,"Not recommended","Not recommended",,
"Water ",,"Little or no effect","Little or no effect","Little or no effect","Little or no effect"
"Wax alcohol ","1","Little or no effect","Little or no effect",,
"Wetting agent ","0.05","Little or no effect","Some effect",,
"Whiskey ",,"Little or no effect","Little or no effect",,
"White Spirit ",,"Little or no effect","Little or no effect",,
"Wines",,"Little or no effect","Little or no effect",,
"Xylene ",,"Not recommended","Not recommended","Not recommended","Not recommended"
"Yeast each ",,"Little or no effect",,,
"Zinc carbonate ","1","Little or no effect","Little or no effect",,
"Zinc chloride ","Aqueous","Little or no effect","Little or no effect","Not recommended","Little or no effect"
"Zinc nitrate",,"Little or no effect","Little or no effect",,"Little or no effect"
"Zinc oxide",,"Little or no effect","Little or no effect",,
"Zinc phosphate","1","Little or no effect","Little or no effect",,
"Zinc stearate ",,"Little or no effect","Little or no effect",,
"Zinc sulfate ","0.1","Little or no effect","Little or no effect",,
"Zinc chloride ","0.1","Little or no effect","Some effect","Not recommended",
